<pdfxml Author="(anonymous)" CreationDate="D:20231002164636+05'00'" Creator="(unspecified)" Keywords="" ModDate="D:20231002164636+05'00'" Producer="ReportLab PDF Library - www.reportlab.com" Subject="(unspecified)" Title="(anonymous)" Trapped="/False">
  <LTPage y0="0" y1="841.89" x0="0" x1="595.276" width="595.276" height="841.89" bbox="[0, 0, 595.276, 841.89]" pageid="1" rotate="0" page_index="0" page_label="">
    <LTTextLineHorizontal y0="742.164" y1="760.164" x0="78.0" x1="128.004" width="50.004" height="18.0" bbox="[78.0, 742.164, 128.004, 760.164]" word_margin="0.1"><LTTextBoxHorizontal y0="742.164" y1="760.164" x0="78.0" x1="128.004" width="50.004" height="18.0" bbox="[78.0, 742.164, 128.004, 760.164]" index="0">TITLE </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="720.82" y1="730.82" x0="242.278" x1="335.438" width="93.16" height="10.0" bbox="[242.278, 720.82, 335.438, 730.82]" word_margin="0.1"><LTTextBoxHorizontal y0="720.82" y1="730.82" x0="242.278" x1="335.438" width="93.16" height="10.0" bbox="[242.278, 720.82, 335.438, 730.82]" index="1">header A header B </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="702.82" y1="712.82" x0="242.278" x1="247.838" width="5.56" height="10.0" bbox="[242.278, 702.82, 247.838, 712.82]" word_margin="0.1"><LTTextBoxHorizontal y0="702.82" y1="712.82" x0="242.278" x1="247.838" width="5.56" height="10.0" bbox="[242.278, 702.82, 247.838, 712.82]" index="2">a </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="684.82" y1="694.82" x0="242.278" x1="247.838" width="5.56" height="10.0" bbox="[242.278, 684.82, 247.838, 694.82]" word_margin="0.1"><LTTextBoxHorizontal y0="684.82" y1="694.82" x0="242.278" x1="247.838" width="5.56" height="10.0" bbox="[242.278, 684.82, 247.838, 694.82]" index="3">b </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="666.82" y1="676.82" x0="242.278" x1="247.278" width="5.0" height="10.0" bbox="[242.278, 666.82, 247.278, 676.82]" word_margin="0.1"><LTTextBoxHorizontal y0="666.82" y1="676.82" x0="242.278" x1="247.278" width="5.0" height="10.0" bbox="[242.278, 666.82, 247.278, 676.82]" index="4">c </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="702.82" y1="712.82" x0="294.858" x1="300.418" width="5.56" height="10.0" bbox="[294.858, 702.82, 300.418, 712.82]" word_margin="0.1"><LTTextBoxHorizontal y0="702.82" y1="712.82" x0="294.858" x1="300.418" width="5.56" height="10.0" bbox="[294.858, 702.82, 300.418, 712.82]" index="5">1 </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="684.82" y1="694.82" x0="294.858" x1="300.418" width="5.56" height="10.0" bbox="[294.858, 684.82, 300.418, 694.82]" word_margin="0.1"><LTTextBoxHorizontal y0="684.82" y1="694.82" x0="294.858" x1="300.418" width="5.56" height="10.0" bbox="[294.858, 684.82, 300.418, 694.82]" index="6">2 </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="666.82" y1="676.82" x0="294.858" x1="300.418" width="5.56" height="10.0" bbox="[294.858, 666.82, 300.418, 676.82]" word_margin="0.1"><LTTextBoxHorizontal y0="666.82" y1="676.82" x0="294.858" x1="300.418" width="5.56" height="10.0" bbox="[294.858, 666.82, 300.418, 676.82]" index="7">9 </LTTextBoxHorizontal></LTTextLineHorizontal>
    <LTTextLineHorizontal y0="666.82" y1="676.82" x0="347.438" x1="352.998" width="5.56" height="10.0" bbox="[347.438, 666.82, 352.998, 676.82]" word_margin="0.1"><LTTextBoxHorizontal y0="666.82" y1="676.82" x0="347.438" x1="352.998" width="5.56" height="10.0" bbox="[347.438, 666.82, 352.998, 676.82]" index="8">4 </LTTextBoxHorizontal></LTTextLineHorizontal>
  </LTPage>
</pdfxml>
